slug;name;letter;category;teaser;body;example;synonyms;related;source
symbolische-ki;Symbolische KI;S;KI-Grundlagen;Klassischer KI-Ansatz, der Wissen über explizite Symbole, Regeln und Logik darstellt und verarbeitet.;"Symbolische KI ist ein KI-Ansatz, bei dem Wissen und Regeln in einer explizit definierten, logischen Struktur dargestellt werden. Im Gegensatz zu neuronalen Netzwerken (datenbasiert) basiert sie auf expliziten Symbolen und deren Beziehungen. Beispiel: „Alle Katzen sind Tiere"" + „Minka ist eine Katze"" → „Minka ist ein Tier"".

Geschichte: Entstehung in den 1950ern (McCarthy, Minsky), Blütezeit in den 1980ern (Expertensysteme), Rückgang durch maschinelles Lernen in den 1990ern. Merkmale: transparent und interpretierbar, präzise bei klar definierten Regeln, aber starr und schlecht bei Unsicherheit oder großen Datenmengen.

Aktuelle Relevanz: Hybride Systeme (symbolische KI + maschinelles Lernen) versprechen interpretierbare, robuste KI. Symbolische KI wird z. B. in formalen Verifikationssystemen, Planungsalgorithmen und wissensbasierten Systemen eingesetzt.";Ein Steuerberatungs-Expertensystem der 1990er entscheidet anhand fest programmierter Wenn-Dann-Regeln, welche Abzüge zulässig sind.;"[""Symbolische KI"",""Symbolic AI"",""Regelbasierte KI"",""GOFAI"",""Klassische KI""]";"[""expertensysteme"",""maschinelles-lernen"",""automatisierung-vs-ki"",""neuronales-netzwerk"",""hybrides-ki-system""]";https://ki-manager-methoden.lovable.app/glossar
synthesia;Synthesia;S;Tools & Anwendungen;KI-Tool zur Erstellung von Avatar-Präsentationsvideos aus Text und kurzen Selbstaufnahmen.;KI-Tool zur Erstellung von Avatar-Präsentationsvideos aus Text und kurzen Selbstaufnahmen.;Eine Personalabteilung erstellt mit Synthesia mehrsprachige Onboarding-Videos, indem sie den Text eintippt und einen Avatar sprechen lässt.;"[""Synthesia"",""Synthesia.io"",""Synthesia AI""]";"[""heygen"",""deepfake-ki-avatar"",""stimmenklon"",""elevenlabs"",""generative-ki""]";
synthetische-daten;Synthetische Daten;S;Technik & Daten;Künstlich von KI erzeugte Daten, die echte Daten nachbilden und zum Training oder Testen genutzt werden.;Künstlich von KI erzeugte Daten, die echte Daten nachbilden und zum Training oder Testen genutzt werden.;Ein Team erzeugt synthetische Patientendaten, um ein Diagnosemodell zu testen, ohne echte Gesundheitsdaten zu verwenden.;"[""Synthetische Daten"",""Synthetic Data"",""Künstliche Daten"",""Generierte Daten""]";"[""trainingsdaten"",""data-augmentation-datenerweiterung"",""anonymisierung-vs-pseudonymisierung"",""datenqualitaet"",""datenschutz-als-querschnittsthema""]";
system-prompt;System-Prompt;S;Methoden & Frameworks;Übergeordnete Grundanweisung mit Verhaltensregeln, auf die ein Modell oder Agent bei jeder Interaktion zugreift.;Übergeordnete Grundanweisung mit Verhaltensregeln, auf die ein Modell oder Agent bei jeder Interaktion zugreift.;Im System-Prompt eines Support-Bots ist festgelegt, dass er stets höflich, in Sie-Form und nur auf Basis der Wissensdatenbank antwortet.;"[""System-Prompt"",""System Prompt"",""Systemanweisung"",""Grundanweisung"",""Systemprompt""]";"[""prompt"",""custom-gpt"",""rollenprompt"",""metakontext-und-metaprompt"",""guardrails-leitplanken""]";
technische-dokumentation;Technische Dokumentation;T;Recht & Regulatorik;Pflicht für Hochrisiko-KI, Zweck, Trainings- und Testdaten, Leistungsmetriken und Einschränkungen nachvollziehbar zu beschreiben.;Pflicht für Hochrisiko-KI, Zweck, Trainings- und Testdaten, Leistungsmetriken und Einschränkungen nachvollziehbar zu beschreiben.;Für ein Bewerbungs-Screening-System dokumentiert das Unternehmen Datenherkunft, Genauigkeit und bekannte Bias-Risiken für die Aufsichtsbehörde.;"[""Technische Dokumentation"",""Technical Documentation"",""Technische Unterlagen""]";"[""hochrisiko-ki-system"",""nachweis-und-dokumentationspflicht"",""konformitaetsbewertung"",""eu-ai-act-artikel-4""]";
temperatur;Temperatur;T;Technik & Daten;Einstellwert, der die Zufälligkeit und Kreativität der KI-Ausgabe steuert.;Einstellwert, der die Zufälligkeit und Kreativität der KI-Ausgabe steuert.;Für die Extraktion von Rechnungsdaten wird eine niedrige Temperatur gewählt, für das Brainstorming von Werbeslogans eine hohe.;"[""Temperatur"",""Temperature"",""Temperatur-Parameter"",""Sampling-Temperatur""]";"[""hyperparameter"",""nicht-determinismus"",""token"",""large-language-model-grosses-sprachmodell"",""halluzination""]";
tensorflow;TensorFlow;T;Tools & Anwendungen;Von Google entwickeltes Open-Source-Framework zum Erstellen, Trainieren und Bereitstellen von Machine-Learning-Modellen.;"TensorFlow ist ein Open-Source-Framework für maschinelles Lernen, das von Google entwickelt und 2015 veröffentlicht wurde. Es bietet Werkzeuge zur Erstellung, Schulung und Implementierung von KI-Modellen. Der Name leitet sich von Tensors (mehrdimensionale Arrays) und dem Datenfluss durch neuronale Netzwerke ab.

Funktionsweise: Tensoren als Datengrundlage → Graphenstruktur für Berechnungen → APIs in verschiedenen Abstraktionsstufen (Keras für einfache Modelle, Core TensorFlow für mehr Kontrolle). Unterstützt GPUs und TPUs für beschleunigtes Training.

Warum beliebt: Open Source, Vielseitigkeit (NLP, Computer Vision, Zeitreihen, Robotik), Skalierbarkeit (Smartphones bis Rechenzentren), Google-Unterstützung. Alternative/Konkurrenz: PyTorch (besonders in der Forschung). Anwendungsbereiche: Sprachmodelle, medizinische Bildanalyse, autonomes Fahren.";Ein Data-Science-Team baut mit TensorFlow ein Bilderkennungsmodell zur automatischen Qualitätskontrolle in der Produktion.;"[""TensorFlow"",""Tensor Flow"",""TF""]";"[""maschinelles-lernen"",""deep-learning"",""neuronales-netzwerk"",""data-scientist"",""mlops""]";https://ki-manager-methoden.lovable.app/glossar
taetigkeitswandel;Tätigkeitswandel;T;Change & Organisation;Verschiebung von Routinetätigkeiten hin zu anspruchsvolleren Aufgaben durch Automatisierung, ohne dass Arbeitsplätze wegfallen.;Verschiebung von Routinetätigkeiten hin zu anspruchsvolleren Aufgaben durch Automatisierung, ohne dass Arbeitsplätze wegfallen.;Ein Sachbearbeiter prüft künftig nur noch die von der KI vorbereiteten Rechnungen, statt sie manuell einzugeben.;"[""Aufgabenwandel"",""Job transformation"",""Wandel der Tätigkeiten"",""Task Shift""]";"[""change-management"",""mitarbeiterentlastung""]";
thinking-vs-instant-modus;Thinking- vs. Instant-Modus;T;Tools & Anwendungen;KI-Ausgabemodi, bei denen Thinking mehr in die Tiefe geht und Instant schneller, aber oft neutraler antwortet.;KI-Ausgabemodi, bei denen Thinking mehr in die Tiefe geht und Instant schneller, aber oft neutraler antwortet.;Für eine schnelle Begriffsdefinition genügt der Instant-Modus, während eine strategische Analyse im Thinking-Modus deutlich fundierter ausfällt.;"[""Thinking- vs. Instant-Modus"",""Thinking-Modus"",""Instant-Modus"",""Reasoning- vs. Schnellmodus"",""Denk- vs. Sofortmodus""]";"[""reasoning-modell"",""chain-of-thought-gedankenkette"",""angemessenstes-vs-effizientestes-modell"",""deep-research"",""token""]";
token;Token;T;Technik & Daten;Kleinste Text- und Recheneinheit eines Sprachmodells, über die Verarbeitung und Abrechnung erfolgen.;"Ein Token ist die kleinste Texteinheit, in die ein Text aufgeteilt wird, bevor er von einem Sprachmodell verarbeitet wird. Ein Token entspricht nicht immer einem ganzen Wort – es kann

auch Wortteile, Satzzeichen oder einzelne Buchstaben umfassen. Faustregel: 1 Token ≈ 0,75 Wörter (Englisch) oder ≈ 0,5–0,6 Wörter (Deutsch).

Tokenisierungsarten: wortbasiert (vollständige Wörter), Subword-Tokenisierung (Byte Pair Encoding, WordPiece – am häufigsten), zeichenbasiert (einzelne Buchstaben). Verarbeitung: Tokenisierung → numerische IDs → Einbettungen → Modellverarbeitung.

Bedeutung in der Praxis: Tokenanzahl bestimmt Kosten bei API-Nutzung, Kontextfenstergröße und Verarbeitungsgeschwindigkeit. Das Verständnis von Tokens ist essenziell für effizientes Prompt Engineering und die Kostenkalkulation beim Einsatz von LLM-APIs (Tokenomics).";Ein langer Vertrag verbraucht bei der Analyse mehrere tausend Tokens, was sich direkt in den Nutzungskosten des KI-Dienstes niederschlägt.;"[""Token"",""Tokens"",""Credits"",""Token / Credits"",""Verarbeitungseinheit""]";"[""tokenomics-tokenomie"",""kontextfenster-context-window"",""large-language-model-grosses-sprachmodell"",""pay-per-use"",""session-limit-5-stunden-fenster""]";https://ki-manager-methoden.lovable.app/glossar
tokenomics-tokenomie;Tokenomics (Tokenomie);T;Management & Strategie;Wirtschaftliche Betrachtung von Tokens hinsichtlich Kosten, Verbrauch und Preisgestaltung bei der Nutzung von KI-Modellen.;"Tokenomics bezeichnet die Wirtschaftslehre und Kostenstruktur rund um Tokens beim Einsatz von Large Language Models. Der Begriff kombiniert „Token"" und „Economics"" und beschreibt das komplette Ökosystem der Kostenplanung, -kalkulation und -optimierung für KI-Sprachmodelle wie ChatGPT, Claude oder Gemini.

Kernfragen: Wie werden Tokens gezählt? Was kostet die KI-Nutzung wirklich? Welche versteckten Kostenfaktoren gibt es (System-Prompts, Konversationsverlauf, Output-Tokens kosten meist mehr als Input-Tokens)? Wie lassen sich Kosten optimieren? Wann lohnt sich welches Modell?

Praktische Relevanz: Unternehmen, die Tokenomics ignorieren, erleben oft einen „Kostenschock"" beim Skalieren von KI-Anwendungen. Optimierungsstrategien: kürzere Prompts, Caching, geeignetes Modell wählen, Konversationsverlauf kürzen. Tokenomics ist eine fundamentale Geschäftskompetenz für KI-Einsatz im Unternehmen.";Vor dem Rollout eines KI-Assistenten schätzt der Manager den monatlichen Tokenverbrauch pro Nutzer, um die Gesamtkosten zu prognostizieren.;"[""Tokenomics"",""Tokenomie"",""Token-Ökonomie"",""Token Economics""]";"[""token"",""pay-per-use"",""kosten-nutzen-verhaeltnis"",""roi-return-on-investment"",""opportunitaets-und-versteckte-kosten""]";https://ki-manager-methoden.lovable.app/glossar
tool-use-werkzeugnutzung;Tool Use (Werkzeugnutzung);T;Technik & Daten;Fähigkeit eines Agenten, eigenständig externe Systeme wie Datenbanken, APIs oder andere Tools aufzurufen.;Fähigkeit eines Agenten, eigenständig externe Systeme wie Datenbanken, APIs oder andere Tools aufzurufen.;Ein Agent ruft selbstständig eine Wetter-API und das Kalendersystem auf, um einen Außentermin zu planen und zu bestätigen.;"[""Tool Use"",""Werkzeugnutzung"",""Tool Calling"",""Function Calling"",""Werkzeugeinsatz""]";"[""ki-agent"",""agentisches-verhalten"",""api-schnittstelle"",""mcp-model-context-protocol"",""orchestrierung""]";
hyperparameter;Hyperparameter;H;Technik & Daten;Vorab festgelegte Einstellgrößen des Trainings, die der Mensch wählt und die nicht aus den Daten gelernt werden.;"Hyperparameter sind vordefinierte Konfigurationsvariablen, die das Verhalten eines KI-Modells bestimmen und nicht während des Trainings, sondern vorab festgelegt werden.

Unterschied zu Modellparametern (die beim Training gelernt werden): Hyperparameter steuern den Lernprozess selbst.

Arten: Modellarchitektur-Hyperparameter (Anzahl Schichten, Neuronen), Optimierungsparameter (Lernrate, Batchgröße), Regularisierungshyperparameter (Dropout-Rate, L1/L2). Falsch gewählte Hyperparameter führen zu Overfitting, Underfitting oder ineffizientem Training.

Optimierungsstrategien: manuelle Anpassung (Trial-and-Error), Grid Search (systematisch alle Kombinationen), Random Search (zufällige Kombinationen), Bayessche Optimierung (probabilistisches Modell für die Suche). Hyperparameter-Tuning ist ein wichtiger Schritt in der KI-Entwicklung.";Ein Data Scientist erhöht die Lernrate, um ein Modell schneller zu trainieren, riskiert damit aber schlechtere Ergebnisse.;"[""Hyper-Parameter"",""hyperparameters"",""Trainingseinstellungen""]";"[""gewichte-gewichtung"",""maschinelles-lernen"",""fine-tuning"",""overfitting"",""neuronales-netzwerk""]";https://ki-manager-methoden.lovable.app/glossar
indeed-connector;Indeed-Connector;I;Tools & Anwendungen;Verbindung, über die Claude Jobportal-Daten von Indeed direkt abruft, als Grundlage eines automatisierten Job-Dashboards.;Verbindung, über die Claude Jobportal-Daten von Indeed direkt abruft, als Grundlage eines automatisierten Job-Dashboards.;Über den Indeed-Connector zieht sich Claude täglich passende Stellenanzeigen und stellt sie in einem Dashboard zusammen.;"[""Indeed Connector"",""Indeed-Konnektor"",""Indeed-Anbindung""]";"[""connector-konnektor"",""claude"",""scraping"",""automatisierungstools""]";
iso-42001;ISO 42001;I;Recht & Regulatorik;Erste internationale Norm für KI-Managementsysteme, die einen Governance-Rahmen vorgibt, aber keine gesetzliche Pflicht ist.;Erste internationale Norm für KI-Managementsysteme, die einen Governance-Rahmen vorgibt, aber keine gesetzliche Pflicht ist.;Ein Unternehmen richtet sein KI-Managementsystem nach ISO 42001 aus, um Rollen, Risiken und Kontrollen sauber zu dokumentieren.;"[""ISO/IEC 42001"",""ISO 42001"",""Norm für KI-Managementsysteme""]";"[""iso-9001"",""iso-27001"",""ki-governance"",""iso-international-organization-for-standardization"",""risikomanagement-ki""]";
inference-inferenz;Inference (Inferenz);I;Technik & Daten;Anwendungsphase eines trainierten Modells, in der es für neue Eingaben Vorhersagen oder Ausgaben erzeugt.;"Inference bezeichnet den Prozess, bei dem ein trainiertes KI-Modell auf neue Daten angewendet wird, um Vorhersagen oder Entscheidungen zu treffen. Im Gegensatz zum Training (Modellparameter finden) ist Inference die praktische Anwendung des fertigen Modells in der realen Welt.

Unterschied Training/Inference: Training – große Datensätze, sehr hoher Rechenaufwand, Stunden bis Wochen; Inference – einzelne oder kleine Datenmengen, geringerer Aufwand, Millisekunden bis Sekunden. Technologien: GPUs, TPUs, optimierte Frameworks (TensorFlow Lite, ONNX), Quantisierung.

Anwendungsbereiche: Echtzeitentscheidungen (Gesichtserkennung, autonomes Fahren), Sprachassistenten, medizinische Diagnose, Betrugserkennung. Inference-Optimierung ist ein wichtiges Forschungsgebiet für den effizienten Einsatz großer KI-Modelle auf ressourcenbeschränkter Hardware.";Jede Frage an einen Chatbot löst eine Inferenz aus, bei der das Modell aus der Eingabe eine Antwort berechnet.;"[""Inferenz"",""Inference"",""Anwendungsphase"",""Vorhersagephase""]";"[""trainingsdaten"",""maschinelles-lernen"",""token"",""kontextfenster-context-window"",""large-language-model-grosses-sprachmodell""]";https://ki-manager-methoden.lovable.app/glossar
inselloesung;Insellösung;I;Technik & Daten;Tool, das funktioniert, aber nicht mit anderen Systemen verbunden ist und dadurch Doppelerfassung, Zeitverlust und Fehler erzeugt.;Tool, das funktioniert, aber nicht mit anderen Systemen verbunden ist und dadurch Doppelerfassung, Zeitverlust und Fehler erzeugt.;Ein neues KI-Analysetool exportiert Ergebnisse nur als Excel-Datei, die jemand von Hand ins CRM übertragen muss.;"[""Insel-Lösung"",""isoliertes System"",""Standalone-Lösung""]";"[""interoperabilitaet"",""integrationsfaehigkeit"",""datensilos"",""medienbruch"",""it-alignment""]";
instruction-tuning-anweisungsoptimierung;Instruction Tuning (Anweisungsoptimierung);I;KI-Grundlagen;Training eines Modells mit Anweisungs-Antwort-Paaren, damit es natürliche Aufforderungen besser versteht und befolgt.;"Instruction Tuning ist eine Technik, bei der KI-Modelle durch optimierte, aufgabenspezifische Anweisungen feinabgestimmt werden. Das Ziel: besseres Verstehen der Intention hinter einer Anfrage und präzisere, relevantere Antworten. Beispiel: Das Modell lernt, „Erkläre X in einfachen Worten"" korrekt umzusetzen.

Schritte: Sammlung von Anweisungsdaten (Aufgabe + Lösung) → Fine-Tuning des vortrainierten Modells → Verstärkung durch Feedback (RLHF) → Reward-Modell. Instruction Tuning ermöglicht Flexibilität ohne komplettes Neutraining für jede neue Aufgabe.

Anwendungsbereiche: Kundenservice (kontextbezogene Antworten), Bildung (maßgeschneiderte Lernmaterialien), Programmiertools (GitHub Copilot), medizinische Beratungssysteme. Instruction Tuning ist eine Schlüsseltechnik bei modernen Sprachmodellen wie ChatGPT.";"Ein Modell wird mit tausenden Beispielen wie ""Fasse diesen Text zusammen"" plus Musterantwort trainiert und befolgt solche Bitten danach besser.";"[""Instruction Tuning"",""Anweisungsoptimierung"",""Instruktions-Feintuning""]";"[""fine-tuning"",""rlhf"",""pre-training-vortraining"",""large-language-model-grosses-sprachmodell"",""foundation-model-grundlagenmodell""]";https://ki-manager-methoden.lovable.app/glossar
interoperabilitaet;Interoperabilität;I;Technik & Daten;Fähigkeit verschiedener Systeme, Daten auszutauschen und zusammenzuarbeiten, um Insellösungen zu verhindern.;Fähigkeit verschiedener Systeme, Daten auszutauschen und zusammenzuarbeiten, um Insellösungen zu verhindern.;Weil CRM, ERP und KI-Tool über Schnittstellen verbunden sind, fließen Kundendaten ohne Doppeleingabe durch alle Systeme.;"[""Interoperability"",""Zusammenarbeitsfähigkeit von Systemen""]";"[""inselloesung"",""integrationsfaehigkeit"",""api-schnittstelle"",""datensilos"",""medienbruch""]";
iso-international-organization-for-standardization;ISO / International Organization for Standardization;I;Recht & Regulatorik;Internationale Normungsorganisation, die weltweit anerkannte Standards für Management- und KI-Systeme herausgibt.;Internationale Normungsorganisation, die weltweit anerkannte Standards für Management- und KI-Systeme herausgibt.;Ein Anbieter weist mit einem ISO-Zertifikat nach, dass seine Prozesse eine internationale Norm erfüllen.;"[""ISO"",""International Organization for Standardization"",""Internationale Organisation für Normung""]";"[""iso-42001"",""iso-27001"",""iso-9001"",""zertifizierung-audit-auditoren"",""ki-governance""]";
